time,type,entry,vi,exit,exit_time,pnl,reason
2026-04-07,LONG,71974.05373571427,0.27349553839266577,72045.43387742914,2026-04-08,0.507469483641306,stop_loss
2026-04-11,LONG,73097.77743571428,0.4308892768226406,72279.29687891292,2026-04-12,-5.729730701265029,stop_loss
2026-04-13,LONG,74471.61078571428,0.3302972243058906,75161.39914020429,2026-04-14,4.737094125718036,stop_loss
2026-04-15,LONG,74863.13187857142,0.32729999978717494,74658.41371011823,2026-04-16,-1.3991887467896698,stop_loss
2026-04-17,LONG,77120.49706428572,0.5679618231733145,76516.14039888937,2026-04-18,-4.009147582032773,stop_loss
2026-04-20,LONG,75879.43492142859,0.2430221185064082,76140.24993435021,2026-04-21,1.7577896885620363,stop_loss
2026-04-23,LONG,78307.77969285715,0.6778548611091942,77670.21783153113,2026-04-24,-4.164380803237557,stop_loss
2026-04-25,LONG,77674.8824642857,0.45998305580641496,78114.74096913669,2026-04-26,2.8952671593597548,stop_loss
2026-04-27,LONG,77420.03612857143,0.3169160202832308,76587.41620504059,2026-04-28,-2.76380150193894,stop_loss
2026-05-06,LONG,81481.19117142858,0.43215986454736816,80773.09329773247,2026-05-07,-1.954931620348737,stop_loss
2026-05-08,LONG,80245.08380714286,0.6631885182057221,80142.7782040003,2026-05-09,-0.6517181546476264,stop_loss
