vi_period,vi_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,final_equity,total_return,max_drawdown,win_rate,profit_factor,num_trades,score
24,0.5,0.03,0.08,0.02,9933.360737999998,-0.006663926200000242,0.008808863818696526,0.34285714285714286,0.6683083131468198,35,-0.006663926200000242
24,0.5,0.025,0.07,0.02,9933.360737999998,-0.006663926200000242,0.008808863818696526,0.34285714285714286,0.6683083131468198,35,-0.006663926200000242
24,0.5,0.02,0.08,0.02,9933.360737999998,-0.006663926200000242,0.008808863818696526,0.34285714285714286,0.6683083131468198,35,-0.006663926200000242
24,0.5,0.03,0.07,0.02,9933.360737999998,-0.006663926200000242,0.008808863818696526,0.34285714285714286,0.6683083131468198,35,-0.006663926200000242
24,0.5,0.025,0.06,0.02,9933.360737999998,-0.006663926200000242,0.008808863818696526,0.34285714285714286,0.6683083131468198,35,-0.006663926200000242
24,0.5,0.03,0.06,0.02,9933.360737999998,-0.006663926200000242,0.008808863818696526,0.34285714285714286,0.6683083131468198,35,-0.006663926200000242
24,0.4,0.03,0.06,0.025,9932.419492500001,-0.006758050749999893,0.01615325957342411,0.38571428571428573,0.8897250158235493,70,-0.006758050749999893
24,0.4,0.025,0.06,0.025,9932.419492500001,-0.006758050749999893,0.01615325957342411,0.38571428571428573,0.8897250158235493,70,-0.006758050749999893
24,0.5,0.025,0.05,0.025,9928.211042499996,-0.007178895750000447,0.01184305249594609,0.3548387096774194,0.7188590622832587,31,-0.007178895750000447
24,0.5,0.03,0.05,0.025,9928.211042499996,-0.007178895750000447,0.01184305249594609,0.3548387096774194,0.7188590622832587,31,-0.007178895750000447
24,0.35,0.02,0.06,0.025,9927.665836499998,-0.0072334163500001524,0.016315900786911794,0.38636363636363635,0.8956105617846688,88,-0.0072334163500001524
24,0.5,0.02,0.08,0.025,9924.384447499999,-0.007561555250000128,0.011944047784374138,0.3548387096774194,0.6836118186597482,31,-0.007561555250000128
24,0.5,0.02,0.06,0.025,9924.384447499999,-0.007561555250000128,0.011944047784374138,0.3548387096774194,0.6836118186597482,31,-0.007561555250000128
24,0.5,0.02,0.07,0.025,9924.384447499999,-0.007561555250000128,0.011944047784374138,0.3548387096774194,0.6836118186597482,31,-0.007561555250000128
24,0.35,0.02,0.04,0.025,9923.874818999999,-0.007612518100000125,0.015836496100635162,0.37894736842105264,0.8968026669289295,95,-0.007612518100000125
24,0.35,0.02,0.07,0.025,9923.7181795,-0.007628182050000033,0.016315900786911794,0.39080459770114945,0.885460777196849,87,-0.007628182050000033
24,0.35,0.02,0.08,0.025,9920.119530499998,-0.007988046950000171,0.016315900786911794,0.3953488372093023,0.8756270158454188,86,-0.007988046950000171
24,0.25,0.02,0.07,0.025,9918.989575999994,-0.008101042400000551,0.01800088077173678,0.391304347826087,0.9058686172965271,138,-0.008101042400000551
24,0.25,0.02,0.04,0.025,9917.321165999996,-0.008267883400000392,0.018219670922867057,0.3815789473684211,0.9140992009331743,152,-0.008267883400000392
24,0.25,0.02,0.06,0.025,9915.444125999995,-0.008455587400000514,0.018039989552992616,0.3829787234042553,0.9059108462122476,141,-0.008455587400000514
24,0.4,0.03,0.04,0.025,9911.1427475,-0.008885725249999995,0.01616565250319319,0.38666666666666666,0.8555022839709852,75,-0.008885725249999995
24,0.4,0.025,0.04,0.025,9911.1427475,-0.008885725249999995,0.01616565250319319,0.38666666666666666,0.8555022839709852,75,-0.008885725249999995
24,0.4,0.025,0.08,0.025,9910.1083925,-0.008989160749999973,0.01616565250319319,0.391304347826087,0.8384212777683177,69,-0.008989160749999973
24,0.4,0.03,0.08,0.025,9910.1083925,-0.008989160749999973,0.01616565250319319,0.391304347826087,0.8384212777683177,69,-0.008989160749999973
24,0.25,0.02,0.08,0.025,9909.768631999994,-0.009023136800000612,0.0182424409121719,0.391304347826087,0.8951617109663812,138,-0.009023136800000612
24,0.4,0.025,0.07,0.025,9908.9876925,-0.009101230749999922,0.01616565250319319,0.38571428571428573,0.8425834744813648,70,-0.009101230749999922
24,0.4,0.03,0.07,0.025,9908.9876925,-0.009101230749999922,0.01616565250319319,0.38571428571428573,0.8425834744813648,70,-0.009101230749999922
21,0.5,0.025,0.06,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.02,0.06,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.02,0.05,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.025,0.04,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.02,0.07,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.025,0.05,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.02,0.04,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.02,0.08,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.025,0.07,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.025,0.08,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.03,0.04,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.03,0.05,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.03,0.06,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.03,0.07,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
21,0.5,0.03,0.08,0.015,9908.939379000003,-0.00910606209999969,0.013396032779876261,0.3333333333333333,0.649465040470919,63,-0.00910606209999969
24,0.4,0.03,0.05,0.025,9908.078227500002,-0.009192177249999805,0.01616565250319319,0.375,0.8495601370535792,72,-0.009192177249999805
24,0.4,0.025,0.05,0.025,9908.078227500002,-0.009192177249999805,0.01616565250319319,0.375,0.8495601370535792,72,-0.009192177249999805
24,0.5,0.025,0.06,0.025,9908.031937499996,-0.009196806250000373,0.013572077706495708,0.3548387096774194,0.6398333639091793,31,-0.009196806250000373
24,0.5,0.025,0.07,0.025,9908.031937499996,-0.009196806250000373,0.013572077706495708,0.3548387096774194,0.6398333639091793,31,-0.009196806250000373
24,0.5,0.025,0.08,0.025,9908.031937499996,-0.009196806250000373,0.013572077706495708,0.3548387096774194,0.6398333639091793,31,-0.009196806250000373
24,0.5,0.03,0.06,0.025,9908.031937499996,-0.009196806250000373,0.013572077706495708,0.3548387096774194,0.6398333639091793,31,-0.009196806250000373
24,0.5,0.03,0.07,0.025,9908.031937499996,-0.009196806250000373,0.013572077706495708,0.3548387096774194,0.6398333639091793,31,-0.009196806250000373
24,0.5,0.03,0.08,0.025,9908.031937499996,-0.009196806250000373,0.013572077706495708,0.3548387096774194,0.6398333639091793,31,-0.009196806250000373
24,0.3,0.02,0.07,0.02,9906.409843,-0.009359015700000054,0.023033110665434054,0.3358208955223881,0.8663442597814934,134,-0.009359015700000054
24,0.3,0.025,0.07,0.02,9906.409843,-0.009359015700000054,0.023033110665434054,0.3358208955223881,0.8663442597814934,134,-0.009359015700000054
24,0.3,0.03,0.07,0.02,9906.409843,-0.009359015700000054,0.023033110665434054,0.3358208955223881,0.8663442597814934,134,-0.009359015700000054
24,0.35,0.025,0.05,0.025,9903.682942500003,-0.009631705749999674,0.017755650096864403,0.37777777777777777,0.8690763442816614,90,-0.009631705749999674
24,0.35,0.03,0.05,0.025,9903.682942500003,-0.009631705749999674,0.017755650096864403,0.37777777777777777,0.8690763442816614,90,-0.009631705749999674
24,0.35,0.03,0.04,0.025,9899.210616500002,-0.010078938349999771,0.017018713638639032,0.37894736842105264,0.8641584842172185,95,-0.010078938349999771
24,0.35,0.025,0.04,0.025,9899.210616500002,-0.010078938349999771,0.017018713638639032,0.37894736842105264,0.8641584842172185,95,-0.010078938349999771
24,0.25,0.03,0.06,0.025,9896.007569000003,-0.010399243099999693,0.020314021693827927,0.38848920863309355,0.8874083215756285,139,-0.010399243099999693
24,0.25,0.025,0.06,0.025,9896.007569000003,-0.010399243099999693,0.020314021693827927,0.38848920863309355,0.8874083215756285,139,-0.010399243099999693
21,0.5,0.025,0.05,0.025,9894.751445,-0.010524855500000013,0.017997136807012974,0.40425531914893614,0.7046244659831598,47,-0.010524855500000013
21,0.5,0.03,0.05,0.025,9894.751445,-0.010524855500000013,0.017997136807012974,0.40425531914893614,0.7046244659831598,47,-0.010524855500000013
18,0.5,0.025,0.06,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.03,0.05,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.02,0.04,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.025,0.08,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.025,0.07,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.025,0.04,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.025,0.05,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.02,0.05,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
18,0.5,0.03,0.06,0.01,9893.021881,-0.010697811899999942,0.012176238234264265,0.34285714285714286,0.6129772612328601,105,-0.010697811899999942
