run_id,offset_days,symbol,entry_time_ms,exit_time_ms,side,entry_price,exit_price,quantity,pnl,return_pct,exit_reason
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722722760000,1722738840000,Long,0.6101,0.6199,1639.0,16.06220000000005,1.606220000000005,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722724800000,1722764700000,Long,0.10796,0.10706,9262.0,-8.335799999999981,-0.8335799999999982,time
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722764880000,1722780720000,Short,0.10714,0.10592,9333.0,11.38625999999999,1.138625999999999,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722738840000,1722780720000,Long,0.62,0.606,1612.9,-22.58060000000002,-2.258060000000002,stop
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722780720000,1722781680000,Short,0.1061,0.10501,9425.0,10.27324999999994,1.027324999999994,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722780720000,1722781740000,Short,0.6062,0.5995,1649.6,11.05231999999988,1.1052319999999882,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722723180000,1722781920000,Long,2916.77,2874.02,0.342,-14.620500000000002,-1.46205,stop
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722781680000,1722782160000,Short,0.10526,0.10416,9500.0,10.450000000000037,1.0450000000000037,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722781740000,1722782280000,Short,0.5996,0.5928,1667.7,11.340360000000048,1.1340360000000045,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722782160000,1722782340000,Short,0.10468,0.10356,9552.0,10.69823999999996,1.069823999999996,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722781920000,1722783180000,Short,2877.55,2853.82,0.347,8.234310000000006,0.8234310000000007,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722782280000,1722783840000,Short,0.5937,0.5868,1684.3,11.621670000000028,1.1621670000000028,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722783180000,1722785760000,Short,2855.21,2831.09,0.35,8.441999999999961,0.8441999999999962,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722783840000,1722787260000,Short,0.5868,0.5797,1704.1,12.09910999999999,1.209910999999999,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722782340000,1722787320000,Short,0.10364,0.10252,9648.0,10.805759999999962,1.0805759999999962,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722787320000,1722790620000,Short,0.10288,0.10164,9720.0,12.05280000000005,1.205280000000005,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722785760000,1722790620000,Short,2835.25,2809.39,0.352,9.102720000000044,0.9102720000000044,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722787260000,1722790920000,Short,0.5818,0.5742,1718.8,13.062879999999897,1.3062879999999897,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722790620000,1722791400000,Short,0.10174,0.1004,9828.0,13.16951999999994,1.316951999999994,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722790620000,1722791400000,Short,2815.06,2786.99,0.355,9.964850000000055,0.9964850000000056,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722790920000,1722791400000,Short,0.5753,0.5671,1738.2,14.253239999999977,1.4253239999999974,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722791400000,1722791460000,Short,2793.37,2764.71,0.357,10.231619999999948,1.0231619999999948,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722791400000,1722791460000,Short,0.5738,0.5656,1742.7,14.290139999999974,1.4290139999999971,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722791460000,1722791760000,Short,2721.96,2756.58,0.367,-12.70553999999996,-1.270553999999996,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722791460000,1722791820000,Short,0.5665,0.5778,1765.2,-19.94675999999996,-1.994675999999996,stop
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722791760000,1722793020000,Short,2748.11,2717.31,0.363,11.180400000000066,1.1180400000000066,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722791880000,1722793260000,Short,0.5787,0.5704,1728.0,14.342399999999955,1.4342399999999955,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722791400000,1722793440000,Short,0.10074,0.09937,9926.0,13.598619999999965,1.359861999999996,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722793020000,1722793440000,Short,2721.12,2689.23,0.367,11.703629999999952,1.1703629999999954,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722793440000,1722793500000,Short,2694.87,2662.7,0.371,11.935070000000026,1.1935070000000028,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722793500000,1722793620000,Short,2649.96,2691.6,0.377,-15.698279999999952,-1.5698279999999951,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722793260000,1722796560000,Short,0.5709,0.5828,1751.6,-20.844040000000035,-2.0844040000000037,stop
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722793440000,1722796980000,Short,0.09984,0.10206,10016.0,-22.23552,-2.223552,stop
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722793620000,1722797400000,Short,2682.78,2724.42,0.372,-15.490079999999953,-1.5490079999999953,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722796560000,1722798720000,Long,0.582,0.5912,1718.2,15.807439999999977,1.580743999999998,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722796980000,1722798840000,Long,0.10204,0.10363,9800.0,15.581999999999944,1.5581999999999945,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722797400000,1722799380000,Long,2715.81,2753.6,0.368,13.906719999999986,1.3906719999999986,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722798720000,1722799380000,Long,0.5907,0.6002,1692.9,16.08254999999992,1.6082549999999922,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722798840000,1722801240000,Long,0.1036,0.10524,9652.0,15.829280000000026,1.5829280000000026,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722799380000,1722808980000,Long,0.5997,0.5866,1667.5,-21.84425,-2.184425,stop
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722799380000,1722813240000,Long,2750.5,2702.9,0.363,-17.278799999999965,-1.7278799999999963,stop
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722808980000,1722813540000,Short,0.588,0.5775,1700.6,17.85629999999992,1.7856299999999918,target
20260628T063005Z-p80729-tpe,0,BTCUSDT,1722816480000,1722818160000,Short,57992.7,57169.9,0.017,13.987599999999928,1.398759999999993,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722816660000,1722818280000,Short,2666.67,2613.3,0.374,19.96037999999996,1.996037999999996,target
20260628T063005Z-p80729-tpe,0,BTCUSDT,1722818160000,1722819300000,Short,57203.0,56335.4,0.017,14.749199999999975,1.4749199999999976,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722818280000,1722819300000,Short,2624.02,2568.68,0.381,21.084540000000057,2.108454000000006,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722818280000,1722819360000,Short,0.10124,0.09849,9877.0,27.161750000000023,2.7161750000000024,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722819360000,1722819420000,Short,0.0986,0.09573,10141.0,29.104669999999977,2.9104669999999975,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722819300000,1722819420000,Short,2590.28,2532.68,0.386,22.23360000000014,2.223360000000014,target
20260628T063005Z-p80729-tpe,0,BTCUSDT,1722819300000,1722819960000,Short,56455.8,55555.7,0.017,15.3017000000001,1.53017000000001,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722819420000,1722819960000,Short,0.09823,0.09536,10180.0,29.216599999999975,2.9216599999999975,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722819420000,1722819960000,Short,2554.51,2496.91,0.391,22.52160000000014,2.252160000000014,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722818640000,1722819960000,Short,0.566,0.5459,1766.7,35.51066999999982,3.551066999999982,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722819960000,1722820020000,Short,2510.54,2449.71,0.398,24.210339999999977,2.4210339999999975,target
20260628T063005Z-p80729-tpe,0,BNBUSDT,1722819300000,1722820080000,Short,480.37,461.59,2.08,39.06240000000006,3.906240000000006,target
20260628T063005Z-p80729-tpe,0,BTCUSDT,1722819960000,1722820080000,Short,55618.8,54692.3,0.017,15.7505,1.57505,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722819960000,1722820080000,Short,0.09696,0.09397,10313.0,30.835870000000067,3.0835870000000067,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722820020000,1722820080000,Short,2463.54,2402.71,0.405,24.636149999999972,2.4636149999999972,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1722819300000,1722820080000,Short,132.51,125.03,7.54,56.39919999999992,5.639919999999992,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722819960000,1722820080000,Short,0.5501,0.5289,1817.8,38.53735999999999,3.853735999999999,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722820080000,1722820140000,Short,2422.88,2362.05,0.412,25.061959999999967,2.5061959999999965,target
20260628T063005Z-p80729-tpe,0,BNBUSDT,1722820080000,1722820200000,Short,463.21,443.89,2.15,41.53799999999998,4.153799999999999,target
20260628T063005Z-p80729-tpe,0,BTCUSDT,1722820080000,1722820200000,Short,55109.4,54182.9,0.018,16.677,1.6677000000000002,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722820080000,1722820200000,Short,0.09516,0.09217,10508.0,31.41891999999992,3.141891999999992,target
20260628T063005Z-p80729-tpe,0,SOLUSDT,1722820080000,1722820200000,Short,127.11,119.44,7.86,60.286200000000015,6.028620000000001,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722820080000,1722820200000,Short,0.5395,0.5183,1853.5,39.2942,3.929419999999999,target
20260628T063005Z-p80729-tpe,0,BTCUSDT,1722820200000,1722820260000,Short,54730.9,53768.4,0.018,17.325,1.7325,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722820200000,1722820260000,Short,0.09331,0.09018,10716.0,33.541080000000086,3.3541080000000085,target
20260628T063005Z-p80729-tpe,0,ETHUSDT,1722820200000,1722820260000,Short,2339.3,2272.85,0.427,28.374150000000117,2.837415000000012,target
20260628T063005Z-p80729-tpe,0,SUIUSDT,1722820200000,1722820260000,Short,0.5258,0.5033,1901.8,42.790500000000144,4.279050000000014,target
20260628T063005Z-p80729-tpe,0,DOGEUSDT,1722820260000,1722820320000,Short,0.08925,0.09157,11204.0,-25.99328000000003,-2.599328000000003,stop
