timestamp_ms,balance,pnl,drawdown,drawdown_pct,open_positions,long_positions,short_positions,exposure_notional,long_exposure_notional,short_exposure_notional,net_exposure_notional
1715659200000,16105.246490000001,6105.246490000002,80.17228000000068,0.8017228000000068,3,0,3,3000.0,0.0,3000.0,-3000.0
1715668200000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715670000000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715670840000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715670960000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715671080000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715671200000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715671800000,16152.269360000002,6152.269360000002,33.1494100000009,0.331494100000009,3,0,3,3000.0,0.0,3000.0,-3000.0
1715680800000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715682600000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715683200000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715683320000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715683440000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715683560000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715684400000,16118.875140000002,6118.875140000002,66.54363000000103,0.6654363000000103,3,2,1,3000.0,2000.0,1000.0,1000.0
1715693400000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715695200000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715695560000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715695680000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715695800000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715695920000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715697000000,16098.705090000001,6098.705090000001,86.71368000000166,0.8671368000000166,3,2,1,3000.0,2000.0,1000.0,1000.0
1715706000000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715707800000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715707920000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715708040000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715708160000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715708280000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715709600000,16090.494470000001,6090.494470000002,94.92430000000058,0.9492430000000058,2,2,0,2000.0,2000.0,0.0,2000.0
1715718600000,16079.242130000002,6079.242130000003,106.17663999999968,1.0617663999999967,1,0,1,1000.0,0.0,1000.0,-1000.0
1715720280000,16079.242130000002,6079.242130000003,106.17663999999968,1.0617663999999967,1,0,1,1000.0,0.0,1000.0,-1000.0
1715720400000,16079.242130000002,6079.242130000003,106.17663999999968,1.0617663999999967,1,0,1,1000.0,0.0,1000.0,-1000.0
1715720520000,16079.242130000002,6079.242130000003,106.17663999999968,1.0617663999999967,1,0,1,1000.0,0.0,1000.0,-1000.0
