coin,tf,family,name,params,is_sh,oos_sh,oos_ret,n_trades
AAVEUSDT,1d,meanrev,bb,"{""span"": 20, ""mult"": 2.0}",-0.08413784325394022,0.3834911006751944,0.12224955123017467,36.0
AAVEUSDT,1d,meanrev,bb,"{""span"": 20, ""mult"": 2.5}",0.5108822175676121,0.454616761764716,0.05985916880918318,15.0
AAVEUSDT,1d,meanrev,bb,"{""span"": 50, ""mult"": 1.5}",0.3387195478871617,-0.002173782200259129,-0.23155555949605033,36.0
AAVEUSDT,1d,meanrev,bb,"{""span"": 50, ""mult"": 2.0}",0.673898992565453,-0.8428786695894536,-0.5046369288538206,23.0
AAVEUSDT,1d,meanrev,bb,"{""span"": 50, ""mult"": 2.5}",0.9441339965820555,-0.06901772264646339,-0.08827329208654278,11.0
AAVEUSDT,1d,carry,funding,"{""thr"": 5e-05}",-0.7792542198179193,-0.647354341323264,-0.721712690033469,156.5
AAVEUSDT,1d,carry,funding,"{""thr"": 0.0001}",-0.338743913862865,-1.3389787179457275,-0.39514673816103074,10.0
AAVEUSDT,1d,carry,funding,"{""thr"": 0.0002}",-0.00020294042995716954,-1.006236936269339,-0.2850138814809027,3.0
AAVEUSDT,1d,carry,funding,"{""thr"": 0.0005}",-0.39171148099357894,0.7378650978583841,0.07599811324776362,1.0
AAVEUSDT,1d,carry,funding_pct,"{""lb"": 100, ""hi"": 0.8}",-0.138473711944704,-0.6660143139785727,-0.5501935331387304,120.0
AAVEUSDT,1d,carry,funding_pct,"{""lb"": 100, ""hi"": 0.9}",-0.6288240240329727,-1.3799315949208784,-0.6019000185792855,61.0
AAVEUSDT,1d,carry,funding_pct,"{""lb"": 100, ""hi"": 0.95}",-1.0461159036408672,-1.4793030493879098,-0.520133031768844,29.0
AAVEUSDT,1d,carry,funding_pct,"{""lb"": 500, ""hi"": 0.8}",-0.4353728965148874,-0.3809494327823999,-0.3918655098173406,97.0
AAVEUSDT,1d,carry,funding_pct,"{""lb"": 500, ""hi"": 0.9}",-0.40704507230713743,-1.0221103498061916,-0.4749396596967782,54.0
AAVEUSDT,1d,carry,funding_pct,"{""lb"": 500, ""hi"": 0.95}",-0.5847225715365691,-1.0516329166347695,-0.37289817230838906,25.0
AAVEUSDT,1d,carry,funding_mom,"{""lb"": 24}",-0.6106885859776018,-0.7308579051603391,-0.8307452888871653,234.5
AAVEUSDT,1d,carry,funding_mom,"{""lb"": 100}",-0.5238713693392943,-1.1961065185219688,-0.9184419471225691,212.5
AAVEUSDT,1d,carry,funding_mom,"{""lb"": 500}",-1.1344862375775318,-0.3415082656912904,-0.654079588240398,170.5
AAVEUSDT,1d,carry,funding_price_div,"{""lb"": 24}",-0.5509209752639297,-0.5986562859806697,-0.628854867893816,127.5
AAVEUSDT,1d,carry,funding_price_div,"{""lb"": 100}",-0.07304026902737752,-0.844145128768453,-0.6873500411128376,106.0
