dataset,family,name,params,bars,ppy,is_sharpe,oos_sharpe,oos_ret,oos_maxdd,oos_calmar,turnover,n_trades,total_cost,total_funding,is_ret
cex_12h_SOL,meanrev,zscore,"{""lb"": 20, ""z"": 1.5}",721,730,-2.5118739366443346,-1.0721455505600666,-0.17077635481773434,0.24752792162544127,-1.522593639198514,50.0,25.0,0.1,0.0,-0.4550758768673441
cex_12h_SOL,meanrev,zscore,"{""lb"": 20, ""z"": 2.0}",721,730,-3.498210323972862,-2.661910946834886,-0.20588480619756433,0.25132661073167273,-1.7562309944370786,30.0,15.0,0.060000000000000005,0.0,-0.39461367378616985
cex_12h_SOL,meanrev,zscore,"{""lb"": 20, ""z"": 2.5}",721,730,-3.2999500919204534,-1.077389356826774,-0.030658800071055703,0.044551509007121945,-1.697829903127332,6.0,3.0,0.012,0.0,-0.21875305551827384
cex_12h_SOL,meanrev,zscore,"{""lb"": 50, ""z"": 1.5}",721,730,-0.19802909090809342,-1.0195943355929111,-0.17621626158789572,0.23447211473331422,-1.6511915334428484,26.0,13.0,0.052000000000000005,0.0,-0.07537047022262289
cex_12h_SOL,meanrev,zscore,"{""lb"": 50, ""z"": 2.0}",721,730,-0.7242621796186292,-0.938370850046281,-0.13123422044446054,0.19091094887389312,-1.5665710935637742,16.0,8.0,0.032,0.0,-0.11477533456874278
cex_12h_SOL,meanrev,zscore,"{""lb"": 50, ""z"": 2.5}",721,730,-0.054658355299769326,-1.0610572738590198,-0.07592270643519983,0.16753509947786685,-1.0792795193485736,10.0,5.0,0.02,0.0,-0.008553023723462783
cex_12h_SOL,meanrev,bb,"{""span"": 20, ""mult"": 1.5}",721,730,-2.5118739366443346,-1.0721455505600666,-0.17077635481773434,0.24752792162544127,-1.522593639198514,50.0,25.0,0.1,0.0,-0.4550758768673441
cex_12h_SOL,meanrev,bb,"{""span"": 20, ""mult"": 2.0}",721,730,-3.498210323972862,-2.661910946834886,-0.20588480619756433,0.25132661073167273,-1.7562309944370786,30.0,15.0,0.060000000000000005,0.0,-0.39461367378616985
cex_12h_SOL,meanrev,bb,"{""span"": 20, ""mult"": 2.5}",721,730,-3.2999500919204534,-1.077389356826774,-0.030658800071055703,0.044551509007121945,-1.697829903127332,6.0,3.0,0.012,0.0,-0.21875305551827384
cex_12h_SOL,meanrev,bb,"{""span"": 50, ""mult"": 1.5}",721,730,-0.19802909090809342,-1.0195943355929111,-0.17621626158789572,0.23447211473331422,-1.6511915334428484,26.0,13.0,0.052000000000000005,0.0,-0.07537047022262289
cex_12h_SOL,meanrev,bb,"{""span"": 50, ""mult"": 2.0}",721,730,-0.7242621796186292,-0.938370850046281,-0.13123422044446054,0.19091094887389312,-1.5665710935637742,16.0,8.0,0.032,0.0,-0.11477533456874278
cex_12h_SOL,meanrev,bb,"{""span"": 50, ""mult"": 2.5}",721,730,-0.054658355299769326,-1.0610572738590198,-0.07592270643519983,0.16753509947786685,-1.0792795193485736,10.0,5.0,0.02,0.0,-0.008553023723462783
dex_1h_SOL,trend,ema_cross,"{""fast"": 10, ""slow"": 50}",5002,8760,-2.1446274046593534,0.6669138153998451,0.051877949114843336,0.19669996830312836,1.2600083533724267,95.0,47.5,0.13774999999999998,-0.0007930204625000001,-0.43671932024402016
dex_1h_SOL,trend,ema_cross,"{""fast"": 10, ""slow"": 100}",5002,8760,-1.0830937929714661,1.5985746481155585,0.19825423354545468,0.18095849885581522,6.672010005901279,69.0,34.5,0.10005,-0.0009967785375,-0.279977990411974
dex_1h_SOL,trend,ema_cross,"{""fast"": 10, ""slow"": 200}",5002,8760,0.05664212236493427,0.3897076371846766,0.011851228024588156,0.22460974845989173,0.23565624684510872,61.0,30.5,0.08845,-0.0007899213875,-0.0627203249457049
dex_1h_SOL,trend,ema_cross,"{""fast"": 20, ""slow"": 50}",5002,8760,-1.4239422138225315,2.7779832909122364,0.412543792617182,0.16237711674820146,21.77691952819849,61.0,30.5,0.08845,-0.0008787700375,-0.3349626200277922
dex_1h_SOL,trend,ema_cross,"{""fast"": 20, ""slow"": 100}",5002,8760,-0.7277564385215357,0.9392489552779005,0.09260928907327126,0.22227311558886062,2.1309013567088604,61.0,30.5,0.08845,-0.0009176528375000002,-0.21840693708183823
dex_1h_SOL,trend,ema_cross,"{""fast"": 20, ""slow"": 200}",5002,8760,-0.42168161752224725,0.6629569190441513,0.051236853622511846,0.24445453631460087,1.0002578257319514,37.0,18.5,0.053649999999999996,-0.0007115003125000002,-0.16096984880489318
dex_1h_SOL,trend,ema_cross,"{""fast"": 50, ""slow"": 100}",5002,8760,-1.3949850694363934,1.444061132852748,0.17237586393991622,0.21159341187064123,4.75507319100466,35.0,17.5,0.050749999999999997,-0.0007309520875000001,-0.3301845194328856
dex_1h_SOL,trend,ema_cross,"{""fast"": 50, ""slow"": 200}",5002,8760,-1.0886336137607282,0.9919319373076356,0.10065472100301043,0.2883222226889705,1.80957498260926,19.0,9.5,0.027549999999999998,-0.0005624838375000001,-0.2811218068382825
dex_1h_SOL,trend,ema_slope,"{""span"": 20, ""thr"": 0.0}",5002,8760,-4.219041683629648,-3.9051322003637035,-0.4489556046476444,0.4695655302467639,-1.9728565454611433,495.0,247.5,0.7177499999999999,-0.0008749610625000001,-0.6545109279457095
dex_1h_SOL,trend,ema_slope,"{""span"": 20, ""thr"": 0.001}",5002,8760,-3.060437706783728,-5.472252151488464,-0.44341479585049404,0.4699903095131898,-1.9640606962355778,350.0,175.0,0.5074999999999998,-0.00065291315,-0.44722879305822905
dex_1h_SOL,trend,ema_slope,"{""span"": 20, ""thr"": 0.005}",5002,8760,-0.5331327294066441,-5.248708540047562,-0.13629625058916872,0.13629625058916872,-3.4738831977103484,16.0,8.0,0.0232,-1.26221625e-05,-0.04445039787515592
dex_1h_SOL,trend,ema_slope,"{""span"": 50, ""thr"": 0.0}",5002,8760,-3.681384654052887,-1.8841209461102726,-0.26543665195997357,0.3243478297191985,-2.284213622581288,331.0,165.5,0.47994999999999993,-0.0008837127875,-0.6080968368486475
dex_1h_SOL,trend,ema_slope,"{""span"": 50, ""thr"": 0.001}",5002,8760,-1.4254600940268365,-3.232665072306943,-0.2632545110447071,0.3176089820081889,-2.3220153245730297,152.0,76.0,0.2204,-0.0006121785750000001,-0.21686634876711053
dex_1h_SOL,trend,ema_slope,"{""span"": 50, ""thr"": 0.005}",5002,8760,-1.2743552779434049,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.05062049862775908
dex_1h_SOL,trend,ema_slope,"{""span"": 100, ""thr"": 0.0}",5002,8760,-1.556723999059181,-1.2105011804566312,-0.19200316570676823,0.2547934835704373,-2.381382102211154,243.0,121.5,0.35234999999999994,-0.0010086034375,-0.355238801152695
dex_1h_SOL,trend,ema_slope,"{""span"": 100, ""thr"": 0.001}",5002,8760,-2.24228779102923,-0.035753661564953944,-0.015177652342872938,0.15159859963524083,-0.42719427653492276,60.0,30.0,0.087,-0.0003764736625,-0.2525421712052184
dex_1h_SOL,trend,price_ema,"{""span"": 20, ""thr"": 0.0}",5002,8760,-4.219041683629648,-3.9051322003637035,-0.4489556046476444,0.4695655302467639,-1.9728565454611433,495.0,247.5,0.7177499999999999,-0.0008749610625000001,-0.6545109279457095
dex_1h_SOL,trend,price_ema,"{""span"": 20, ""thr"": 0.02}",5002,8760,-2.307365985919318,-4.694609540859147,-0.29469153130434533,0.3003271551336999,-2.6075350800041663,128.0,64.0,0.1856,-0.00033174485,-0.28133736341265847
dex_1h_SOL,trend,price_ema,"{""span"": 20, ""thr"": 0.05}",5002,8760,-1.0089591587799724,-4.572347664372901,-0.11652443404273516,0.11652443404273516,-3.5926685905190365,10.0,5.0,0.014499999999999999,-1.2169587499999999e-05,-0.07210541821935557
dex_1h_SOL,trend,price_ema,"{""span"": 50, ""thr"": 0.0}",5002,8760,-3.681384654052887,-1.8841209461102726,-0.26543665195997357,0.3243478297191985,-2.284213622581288,331.0,165.5,0.47994999999999993,-0.0008837127875,-0.6080968368486475
dex_1h_SOL,trend,price_ema,"{""span"": 50, ""thr"": 0.02}",5002,8760,-2.180672027050406,-3.0292543983083227,-0.26817457626415186,0.33253178764440033,-2.240631942345109,180.0,90.0,0.261,-0.0007066685374999999,-0.32365537149028345
dex_1h_SOL,trend,price_ema,"{""span"": 50, ""thr"": 0.05}",5002,8760,-1.9999285486039475,-3.2020929836382437,-0.1770324491465095,0.1770324491465095,-3.2415016622653985,46.0,23.0,0.0667,-0.0001542654875,-0.17838397430497843
dex_1h_SOL,trend,price_ema,"{""span"": 100, ""thr"": 0.0}",5002,8760,-1.556723999059181,-1.2105011804566312,-0.19200316570676823,0.2547934835704373,-2.381382102211154,243.0,121.5,0.35234999999999994,-0.0010086034375,-0.355238801152695
dex_1h_SOL,trend,price_ema,"{""span"": 100, ""thr"": 0.02}",5002,8760,-1.7855908904389384,-1.4618975130369638,-0.17476330743182622,0.3180724709942144,-1.7879039066614015,168.0,84.0,0.24359999999999998,-0.0009488767250000001,-0.3166197251877564
dex_1h_SOL,trend,price_ema,"{""span"": 100, ""thr"": 0.05}",5002,8760,-2.460424627625278,-0.185677540145135,-0.02610569954458608,0.15625769652834173,-0.6998073097469878,56.0,28.0,0.0812,-0.0003659407874999999,-0.26449197293272
dex_1h_SOL,trend,donchian,"{""lb"": 10}",5002,8760,-8.60260937201369,-11.917429611772292,-0.6453308638873996,0.6459640703386619,-1.5315158844105057,644.0,322.0,0.9338,-0.000266075725,-0.7373541069988643
dex_1h_SOL,trend,donchian,"{""lb"": 20}",5002,8760,-5.947624683229983,-10.083701804261148,-0.545769386998221,0.5465803449452983,-1.7717520027313698,448.0,224.0,0.6496,-0.00025255183749999996,-0.5613418016408763
dex_1h_SOL,trend,donchian,"{""lb"": 55}",5002,8760,-4.4965255591424125,-7.670339265439239,-0.40933100506252096,0.41188849375839454,-2.185622482726037,274.0,137.0,0.3973,-0.00022152995,-0.3716504091123136
dex_1h_SOL,momentum,mom_ret,"{""lb"": 5, ""thr"": 0.0}",5002,8760,-4.824696858305733,-8.583921837725395,-0.7142716138948801,0.7163708135050778,-1.390129094768265,863.0,431.5,1.25135,-0.0004904263625,-0.6995184694637895
dex_1h_SOL,momentum,mom_ret,"{""lb"": 5, ""thr"": 0.02}",5002,8760,-2.898709540449363,-10.19635876360813,-0.5111584720149941,0.5144555541637013,-1.8591014699504034,218.0,109.0,0.3161,-0.000272931825,-0.3274119783148499
dex_1h_SOL,momentum,mom_ret,"{""lb"": 5, ""thr"": 0.05}",5002,8760,-1.5262573980936411,-4.841192662385548,-0.10468778475056617,0.10468778475056617,-3.6657085125078632,14.0,7.0,0.0203,-1.888525e-05,-0.09510824639486548
dex_1h_SOL,momentum,mom_ret,"{""lb"": 10, ""thr"": 0.0}",5002,8760,-3.23721898075042,-6.904099778810262,-0.6392420362641341,0.6456472953133247,-1.530985659639363,637.0,318.5,0.92365,-0.0007852876625,-0.5645172923872391
dex_1h_SOL,momentum,mom_ret,"{""lb"": 10, ""thr"": 0.02}",5002,8760,-3.220437616625207,-6.035274920894876,-0.4234079262138797,0.4336680788995315,-2.098910824303151,256.0,128.0,0.3712,-0.000454182925,-0.4152200237345074
dex_1h_SOL,momentum,mom_ret,"{""lb"": 10, ""thr"": 0.05}",5002,8760,-1.4879314345502859,-8.034147344185937,-0.24031320265944311,0.24031320265944311,-2.9119466677925283,40.0,20.0,0.057999999999999996,-4.51729375e-05,-0.13426226519188778
dex_1h_SOL,momentum,mom_ret,"{""lb"": 20, ""thr"": 0.0}",5002,8760,-2.052825292878061,-4.71596455353174,-0.507252354364931,0.5119918109777142,-1.8650299740351277,439.0,219.5,0.63655,-0.0008407730625,-0.42616530078100534
dex_1h_SOL,momentum,mom_ret,"{""lb"": 20, ""thr"": 0.02}",5002,8760,-1.3208559898953507,-1.2140934621066932,-0.14324507416125287,0.24158268794614549,-2.0356243770063536,238.0,119.0,0.34509999999999996,-0.0006418493375000001,-0.24674227573051566
